经纬度,id,小区名称,所在区域,总价（万元）,单价（元）,房屋户型,所在楼层,建筑面积（㎡）,户型结构,套内面积（㎡）,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
北京顺义馨港庄园三区,63,馨港庄园三区,顺义,305,23879,3室2厅1厨1卫,高楼层 (共6层),127.73,平层,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,2019/11/6,商品房,2016/2/17,普通住宅,满两年,非共有,有抵押 60万元 中国建设银行 客户偿还,已上传房本照片
北京大兴长兴公寓,64,长兴公寓,大兴,298,29274,2室2厅1厨1卫,中楼层 (共26层),101.8,平层,65.47,塔楼,东北,钢混结构,简装,两梯十户,集中供暖,有,70年,2018/8/5,商品房,2015/3/30,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京西城月坛北小街1号院,65,月坛北小街1号院,西城,1080,114894,3室1厅1厨1卫,低楼层 (共18层),94,平层,68.29,板塔结合,西,钢混结构,简装,一梯五户,集中供暖,有,70年,2018/8/19,已购公房,2016/8/23,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京通州DBC加州小镇,66,DBC加州小镇,通州,870,54437,4室2厅1厨2卫,顶层 (共11层),159.82,跃层,暂无数据,板楼,南 北,钢混结构,精装,一梯四户,自供暖,有,70年,2019/8/25,商品房,2016/8/9,普通住宅,满两年,非共有,有抵押,已上传房本照片
北京昌平沙河回收宿舍,67,沙河回收宿舍,昌平,209,32744,2室1厅1厨1卫,中楼层 (共6层),63.83,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,2019/3/23,已购公房,2000/7/20,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京房山绿城百合公寓玉泉苑,68,绿城百合公寓玉泉苑,房山,249,26743,2室1厅1厨1卫,低楼层 (共17层),93.11,平层,72.1,板楼,南 北,钢混结构,简装,两梯四户,自供暖,有,70年,2019/12/6,商品房,2012/11/16,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京房山原香小镇一区,69,原香小镇一区,房山,330,37394,2室1厅1厨1卫,高楼层 (共10层),88.25,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,自供暖,有,70年,2019/12/7,商品房,2017/10/23,普通住宅,满两年,非共有,有抵押 128万元,已上传房本照片
北京大兴鸿坤理想城曦望山,70,鸿坤理想城曦望山,大兴,336,53606,1室1厅1厨1卫,中楼层 (共23层),62.68,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,自供暖,有,70年,2019/10/21,商品房,2016/4/25,普通住宅,满两年,非共有,有抵押 56万元 建行国管公积金 业主自还,已上传房本照片
北京顺义蓝海苑,71,蓝海苑,顺义,610,42777,3室2厅1厨2卫,低楼层 (共11层),142.6,平层,121.24,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,2019/9/23,商品房,2017/1/11,普通住宅,满两年,非共有,有抵押 250万元 北京银行 客户偿还,已上传房本照片
北京朝阳安贞西里,72,安贞西里,朝阳,355,85337,1室1厅1厨1卫,中楼层 (共6层),41.6,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019/8/30,已购公房,2000/9/21,普通住宅,满五年,非共有,无抵押,已上传房本照片
